RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,REC,PTS
222,Vikings D/ST D/ST,0/0,0,0,0,0,0,106.2
223,Texans D/ST D/ST,0/0,0,0,0,0,0,105.8
224,"Terrelle Pryor, NYJ WR  Q",0/0,498.6,2.7,0,2.2,37.3,105.4
225,"Latavius Murray, Min RB",0/0,169,0.6,0,103.6,22.1,104.9
226,Chargers D/ST D/ST,0/0,0,0,0,0,0,104.6
227,Broncos D/ST D/ST,0/0,0,0,0,0,0,104.2
228,"Mike Gesicki, Mia TE",0/0,435.9,3.4,0,0,40.6,104.2
229,"Dede Westbrook, Jax WR",0/0,512.9,2.3,0,0,38.5,103.6
230,"Adam Humphries, TB WR",0/0,455.9,1.9,0,1.9,43.5,102.9
231,"John Ross, Cin WR",0/0,461,2.7,0,7.4,34.9,102.5
232,"Matt Breida, SF RB",0/0,175.7,0.7,0,98.6,20.6,102
233,"Ryan Griffin, Hou TE",0/0,428.6,3.3,0,0,39.1,101.8
234,"Donte Moncrief, Jax WR  Q",0/0,459.9,3.2,0,0,36.3,101.6
235,Titans D/ST D/ST,0/0,0,0,0,0,0,101.5
236,Cardinals D/ST D/ST,0/0,0,0,0,0,0,101.5
237,"Nyheim Hines, Ind RB",0/0,275.7,1.2,0,58.5,33.7,99.9
238,"Austin Ekeler, LAC RB",0/0,235.1,1,0,82.4,25.7,99.6
239,"Jermaine Kearse, NYJ WR",0/0,473.5,2.4,0,0,37,99
240,Panthers D/ST D/ST,0/0,0,0,0,0,0,98
241,"Cole Beasley, Dal WR",0/0,434.6,2.1,0,0,41.8,97.7
242,"T.J. Yeldon, Jax RB",0/0,218.9,0.6,0,74,28.1,97.2
243,"O.J. Howard, TB TE",0/0,441.8,3.1,0,0,33.1,96.1
244,"Trent Taylor*, SF WR  O",0/0,443.1,2.2,0,0,38.4,95.9
245,"Elijah McGuire, NYJ RB  D",0/0,204.3,0.8,0,85.8,22.9,95.6
246,"J.J. Nelson, Ari WR",0/0,485,2.5,0,3.8,29.4,95.5
247,"Michael Gallup, Dal WR",0/0,442.5,2.7,0,0,34.6,95.1
248,"Frank Gore, Mia RB",0/0,163.6,0.7,0,106.3,20,92.5
249,"Taylor Gabriel, Chi WR",0/0,446.6,1.8,0,3.6,34.2,92.4
250,"Javorius Allen, Bal RB",0/0,217.5,0.8,0,62.1,30.6,92.4
251,Lions D/ST D/ST,0/0,0,0,0,0,0,92.1
252,Steelers D/ST D/ST,0/0,0,0,0,0,0,91.7
253,"Aaron Jones, GB RB  SSPD",0/0,86.4,0.5,0,116.4,10.7,91.4
254,"Carlos Hyde, Cle RB",0/0,66.2,0.4,0,122,9.6,91.1
255,Redskins D/ST D/ST,0/0,0,0,0,0,0,91
256,"Corey Clement, Phi RB",0/0,168.9,0.8,0,84.5,17.6,90.6
257,"Hayden Hurst, Bal TE",0/0,389.6,2.5,0,0,36.7,90.2
258,"Taywan Taylor, Ten WR",0/0,399.1,2.1,0,8.2,29.7,88.7
259,Bears D/ST D/ST,0/0,0,0,0,0,0,88.6
260,"Chris Godwin, TB WR",0/0,419.1,2.7,0,0,30.3,88.4
261,"Curtis Samuel*, Car WR  O",0/0,346.2,1.9,0,13.2,30.5,87.5
262,"LeGarrette Blount, Det RB",0/0,50.3,0.3,0,116.8,6.5,86.9
263,Dolphins D/ST D/ST,0/0,0,0,0,0,0,86.5
264,Cowboys D/ST D/ST,0/0,0,0,0,0,0,86.4
265,Bills D/ST D/ST,0/0,0,0,0,0,0,86.3
266,Saints D/ST D/ST,0/0,0,0,0,0,0,86
