PLAYER,POSITION,TEAM,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,PROJ PTS,ADP,2QB RANK
Adam Thielen,WR,Min,0,0,0,2.1,12.9,0,82.2,1142.6,6.6,237.7,31.4,42.0
Matthew Stafford,QB,Det,4383.6,27.5,10.8,31.1,104.1,1,0,0,0,278.6,107.9,43.0
Doug Baldwin,WR,Sea,0,0,0,4.1,22.5,0.1,80.3,1034.2,6.4,225.1,43.1,44.0
Amari Cooper,WR,Oak,0,0,0,1.8,11.3,0,79.9,1059,5.9,222.4,43.7,45.0
Matt Ryan,QB,Atl,4300.1,26.8,10.3,32.7,107.6,0.9,0,0,0,273,114.8,46.0
Philip Rivers,QB,LAC,4346.1,29.6,11.6,23.7,49.4,0.4,0,0,0,274.1,121.2,48.0
Kenyan Drake,RB,Mia,0,0,0,194.3,848.4,5.6,43.2,329.6,1.2,201.3,44.6,49.0
Ben Roethlisberger,QB,Pit,4516.6,28.7,14.5,28.2,57.9,0.8,0,0,0,276,103.2,50.0
Lamar Miller,RB,Hou,0,0,0,206.6,801.5,4.8,31.4,242.7,1.1,170.8,65.7,51.0
Zach Ertz,TE,Phi,0,0,0,0,0,0,81.5,884.4,7.1,212.8,33.5,52.0
JuJu Smith-Schuster,WR,Pit,0,0,0,0,0,0,71.3,917.7,6.1,200.1,53.2,53.0
Alex Collins,RB,Bal,0,0,0,239.2,1022.2,5.7,25.8,201.8,0.6,185,55.2,54.0
Larry Fitzgerald,WR,Ari,0,0,0,0,0,0,103.9,1054.9,5.3,241.3,31.8,55.0
Jared Goff,QB,LAR,4049,25.7,10.1,30.9,105.9,1.2,0,0,0,260.1,120.4,56.0
Josh Gordon,WR,Cle,0,0,0,1.9,11.7,0,62.8,991,6.3,201.2,50.4,57.0
Mark Ingram II,RB,NO,0,0,0,152.6,696.5,6.1,35.5,261.8,1.4,175.7,69.2,58.0
Brandin Cooks,WR,LAR,0,0,0,8.2,46.8,0.3,63.8,948.1,5.3,196.6,49.9,59.0
Marcus Mariota,QB,Ten,3790,23.8,13.3,67.4,365.7,2.6,0,0,0,269.9,123.5,60.0
Patrick Mahomes,QB,KC,4117.8,22.3,15,66.5,344,3.3,0,0,0,272.1,121.3,61.0
Allen Robinson,WR,Chi,0,0,0,0,0,0,72.5,1044.7,7.2,220,42.5,62.0
Demaryius Thomas,WR,Den,0,0,0,0,0,0,88,1024.5,6.1,227.2,40.2,63.0
Jarvis Landry,WR,Cle,0,0,0,1.9,10.3,0,89.2,891.3,5,209.7,46.4,64.0
Alex Smith,QB,Wsh,4201.3,24.8,8.1,57,300.2,1.6,0,0,0,288.2,119.0,65.0
Derek Carr,QB,Oak,4149.3,24.7,12.6,30.8,86.1,0.8,0,0,0,251,118.5,66.0
Golden Tate,WR,Det,0,0,0,5.3,28.2,0.1,89.1,991.5,4.2,216.9,47.9,67.0
